n_customers,n_periods,dataset,model,attribution_mape,rank_correlation,r2,wmape,elapsed_seconds
200,12,pharma,TreeMMM (LightGBM),17.01127528404539,1.0,0.5716587555939002,0.5069230947653989,7.168928861618042
200,12,pharma,GLMM-Naive,32.89992884837365,1.0,-625783.2766344551,40.919774659323906,1.1846301555633545
200,12,pharma,GLMM-Oracle,29.87977503507645,1.0,-22.981980122777397,1.3597959800308739,0.8884952068328857
200,12,pharma,PyMC-Hier-Naive,32.396135074076454,1.0,-20.077636007380956,1.292460500400491,55.54439997673035
200,12,cpg,TreeMMM (LightGBM),22.65435290306848,0.8999999999999998,0.451342458026476,0.4247091210965237,6.304032325744629
200,12,cpg,GLMM-Naive,27.79234050633002,0.8999999999999998,0.306216352552266,0.4708395712450756,0.38233470916748047
200,12,cpg,GLMM-Oracle,19.715831248300166,0.8999999999999998,0.5457612333402564,0.44141221567656674,0.38307690620422363
200,12,cpg,PyMC-Hier-Naive,26.13321594949336,0.8999999999999998,0.2632513444724839,0.5269880032185217,17.112311124801636
200,12,saas,TreeMMM (LightGBM),19.833849761271075,0.8999999999999998,0.41763080832575183,0.45823580935679514,6.180948972702026
200,12,saas,GLMM-Naive,28.860571556780393,0.8999999999999998,0.3395025380693162,0.47995934053759715,0.40718722343444824
200,12,saas,GLMM-Oracle,27.030078491765227,0.8999999999999998,0.4265198782615971,0.45846607292765834,0.36669087409973145
200,12,saas,PyMC-Hier-Naive,27.23032311267384,0.8999999999999998,0.2909164795276755,0.44855971493752056,17.006466150283813
200,12,linear,TreeMMM (LightGBM),0.8643536669021136,1.0,0.9595142402886871,0.050336333780569516,5.932522535324097
200,12,linear,GLMM-Naive,2.1830978199573026,1.0,0.9611341376327923,0.048804953146619694,0.8490400314331055
200,12,linear,GLMM-Oracle,2.1830978199573026,1.0,0.9611341376327923,0.048804953146619694,0.7782855033874512
200,12,linear,PyMC-Hier-Naive,0.7431974773125791,1.0,0.9822616625046833,0.03503638708887623,18.173611879348755
500,24,pharma,TreeMMM (LightGBM),28.299374000757137,1.0,0.5361220302663818,0.5041909663452485,21.284159898757935
500,24,pharma,GLMM-Naive,24.78701074336118,1.0,-3941.7123052551465,3.8983082065804187,1.7243213653564453
500,24,pharma,GLMM-Oracle,29.913934045905375,1.0,-247.44356490731744,1.549985532066367,2.392986536026001
500,24,pharma,PyMC-Hier-Naive,24.108516951555227,1.0,-9.12630310062613,1.1194703778932555,29.082274436950684
500,24,cpg,TreeMMM (LightGBM),25.028350322629016,0.8999999999999998,0.5760657092248104,0.4195056891217426,18.211640119552612
500,24,cpg,GLMM-Naive,28.95389040949329,0.8999999999999998,0.36324729796099153,0.4551078046282583,1.7364232540130615
500,24,cpg,GLMM-Oracle,21.590951589891617,0.8999999999999998,0.49041333872037984,0.4369220527102782,2.6151506900787354
500,24,cpg,PyMC-Hier-Naive,29.133868748836637,0.8999999999999998,0.4393391689930728,0.42160820337761934,25.48022770881653
500,24,saas,TreeMMM (LightGBM),19.443229234435684,0.8999999999999998,0.5422055070906819,0.4376788964865483,17.278856992721558
500,24,saas,GLMM-Naive,25.854106707575397,0.8999999999999998,0.3461921793161157,0.4902658538679165,1.746361255645752
500,24,saas,GLMM-Oracle,16.472769985569606,0.8999999999999998,0.501587818446148,0.4567525100067344,2.8344123363494873
500,24,saas,PyMC-Hier-Naive,25.59306060411527,0.8999999999999998,0.31015225647267963,0.4942730978442207,28.108497619628906
500,24,linear,TreeMMM (LightGBM),1.9654443107699657,1.0,0.9552962212170268,0.0532780312583226,35.28454804420471
500,24,linear,GLMM-Naive,0.7065901167748098,1.0,0.9556538787693788,0.0531601860288316,7.531528472900391
500,24,linear,GLMM-Oracle,0.7065901167748098,1.0,0.9556538787693788,0.0531601860288316,7.627891540527344
500,24,linear,PyMC-Hier-Naive,0.17201862078098715,1.0,0.9862827056619323,0.028961614908491532,46.14230918884277
